Airport Code,"City, State"
ABQ,"Albuquerque, NM"
ADQ,"Kodiak, AK"
ANC,"Anchorage, AK"
ATL,"Atlanta, GA"
ATW,"Appleton, WI"
BET,"Bethel, AK"
BDL,"Hartford, CT"
BIL,"Billings, MT"
BIS,"Bismarck/Mandan, ND"
BLI,"Bellingham, WA"
BNA,"Nashville, TN"
BOI,"Boise, ID"
BOS,"Boston, MA"
BRW,"Barrow, AK"
BUF,"Buffalo, NY"
BUR,"Burbank, CA"
BZN,"Bozeman, MT"
CDV,"Cordova, AK"
CHS,"Charleston, SC"
CLE,"Cleveland, OH"
COS,"Colorado Springs, CO"
CRP,"Corpus Christi, TX"
DAL,"Dallas, TX"
DCA,"Washington, DC"
DEN,"Denver, CO"
DFW,"Dallas/Fort Worth, TX"
DTW,"Detroit, MI"
ELP,"El Paso, TX"
EUG,"Eugene, OR"
EWR,"Newark, NJ"
FAT,"Fresno, CA"
FLL,"Fort Lauderdale, FL"
GEG,"Spokane, WA"
GSP,"Greer, SC"
GTF,"Great Falls, MT"
HDN,"Hayden, CO"
HNL,"Honolulu, HI"
HOU,"Houston, TX"
HPN,"White Plains, NY"
IAD,"Washington Dulles, VA"
IAH,"Houston, TX"
IDA,"Idaho Falls, ID"
IND,"Indianapolis, IN"
ITO,"Hilo, HI"
JAX,"Jacksonville, FL"
JFK,"New York, NY"
JNU,"Juneau, AK"
KOA,"Kona, HI"
KTN,"Ketchikan, AK"
LAS,"Las Vegas, NV"
LAX,"Los Angeles, CA"
LBB,"Lubbock, TX"
LGA,"New York, NY"
LGB,"Long Beach, CA"
LIH,"Lihue, HI"
MAF,"Midland/Odessa, TX"
MCI,"Kansas City, MO"
MCO,"Orlando, FL"
MFE,"Mission/McAllen/Edinburg, TX"
MFR,"Medford, OR"
MIA,"Miami, FL"
MKE,"Milwaukee, WI"
MEM,"Memphis, TN"
MKE,"Milwaukee, WI"
MOT,"Minot, ND"
MSP,"Minneapolis, MN"
MSY,"New Orleans, LA"
MYR,"Myrtle Beach, SC"
OAK,"Oakland, CA"
OGG,"Kahului, HI"
OKC,"Oklahoma City, OK"
ONT,"Ontario, CA"
ORD,"Chicago, IL"
ORF,"Norfolk, VA"
PBI,"West Palm Beach/Palm Beach, FL"
PDX,"Portland, OR"
PHL,"Philadelphia, PA"
PHX,"Phoenix, AZ"
PIT,"Pittsburgh, PA"
PVD,"Providence, RI"
RDU,"Raleigh/Durham, NC"
RAP,"Rapid City, SD"
RFD,"Rockford, IL"
RIC,"Richmond, VA"
RNO,"Reno, NV"
ROC,"Rochester, NY"
RSW,"Fort Myers, FL"
SAN,"San Diego, CA"
SAT,"San Antonio, TX"
SAV,"Savannah, GA"
SBN,"South Bend, IN"
SCK,"Stockton, CA"
SEA,"Seattle, WA"
SFO,"San Francisco, CA"
SGF,"Springfield, MO"
SJC,"San Jose, CA"
SJU,"San Juan, PR"
SLC,"Salt Lake City, UT"
SNA,"Santa Ana, CA"
STL,"St. Louis, MO"
TPA,"Tampa, FL"
TUL,"Tulsa, OK"
VPS,"Valparaiso, FL"
WRG,"Wrangell, AK"
XNA,"Fayetteville, AR"
YAK,"Yakutat, AK"
